isbn;author;name;genre;publisher;year;pages;url
978-5-04-128246-2;Тунсю Мосян;Благословение небожителей;Новеллизации;Эксмо;2022;416;https://book24.ru/product/blagoslovenie-nebozhiteley-tom-1-6065707/
978-5-17-138086-1;Ли Бардуго;Правление волков;Зарубежное фэнтези;АСТ;2022;672;https://book24.ru/product/pravlenie-volkov-6031847/
978-5-17-139443-1;Джеральд Бром;Косиног: История о колдовстве;Зарубежное фэнтези;АСТ;2021;480;https://book24.ru/product/kosinog-istoriya-o-koldovstve-6042658/
978-5-04-106464-8;Барбара Морриган;Чудовище и чудовища;Зарубежное фэнтези;Эксмо;2020;448;https://book24.ru/product/chudovishche-i-chudovishcha-5412787/
978-5-17-145024-3;Александр Бессонов;Мадам;Современная русская проза;АСТ;2022;352;https://book24.ru/product/madam-6054853/
978-5-04-117369-2;Ольга Примаченко;К себе нежно;Популярная психология;БОМБОРА;2022;336;https://book24.ru/product/k-sebe-nezhno-kniga-o-tom-kak-tsenit-i-berech-sebya-5844090/
978-5-699-71230-4;Серена Валентино;Чудовище;Книги по фильмам и мультфильмам;Эксмо;2022;256;https://book24.ru/product/chudovishche-istoriya-nevozmozhnoy-lyubvi-597759/
978-5-699-71231-1;Серена Валентино;Всех прекрасней. История Королевы;Книги по фильмам и мультфильмам;Эксмо;2022;256;https://book24.ru/product/vsekh-prekrasney-istoriya-korolevy-179374/
